# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	1780800	211	-						66530554	FGL83_RS00005	867		old_locus_tag=FGL83_00005
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	1780800	211	-	WP_029509253.1	WP_029509253.1		YitT family protein		66530554	FGL83_RS00005	867	288	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	322	2097	-					aspS	66530555	FGL83_RS00010	1776		old_locus_tag=FGL83_00010
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	322	2097	-	WP_068850059.1	WP_068850059.1		aspartate--tRNA ligase	aspS	66530555	FGL83_RS00010	1776	591	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	2094	3398	-					hisS	66530556	FGL83_RS00015	1305		old_locus_tag=FGL83_00015
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	2094	3398	-	WP_077283255.1	WP_077283255.1		histidine--tRNA ligase	hisS	66530556	FGL83_RS00015	1305	434	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	3736	4410	-					pgmB	66530557	FGL83_RS00020	675		old_locus_tag=FGL83_00020
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	3736	4410	-	WP_147000554.1	WP_147000554.1		beta-phosphoglucomutase	pgmB	66530557	FGL83_RS00020	675	224	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	4423	5391	-						66530558	FGL83_RS00025	969		old_locus_tag=FGL83_00025
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	4423	5391	-	WP_147000555.1	WP_147000555.1		galactose mutarotase		66530558	FGL83_RS00025	969	322	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	5432	7699	-						66530559	FGL83_RS00030	2268		old_locus_tag=FGL83_00030
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	5432	7699	-	WP_147000556.1	WP_147000556.1		glycoside hydrolase family 65 protein		66530559	FGL83_RS00030	2268	755	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	7724	9079	-						66530560	FGL83_RS00035	1356		old_locus_tag=FGL83_00035
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	7724	9079	-	WP_029509247.1	WP_029509247.1		SLC45 family MFS transporter		66530560	FGL83_RS00035	1356	451	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	9191	10135	-						66530561	FGL83_RS00040	945		old_locus_tag=FGL83_00040
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	9191	10135	-	WP_077282524.1	WP_077282524.1		LacI family transcriptional regulator		66530561	FGL83_RS00040	945	314	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	10424	11023	-						66530562	FGL83_RS00045	600		old_locus_tag=FGL83_00045
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	10424	11023	-	WP_147000557.1	WP_147000557.1		nitroreductase family protein		66530562	FGL83_RS00045	600	199	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	11134	11658	-						66530563	FGL83_RS00050	525		old_locus_tag=FGL83_00050
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	11134	11658	-	WP_172412909.1	WP_172412909.1		GNAT family N-acetyltransferase		66530563	FGL83_RS00050	525	174	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	11879	13078	-						66530564	FGL83_RS00055	1200		old_locus_tag=FGL83_00055
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	11879	13078	-	WP_147000558.1	WP_147000558.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		66530564	FGL83_RS00055	1200	399	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	13208	14341	-						66530565	FGL83_RS00060	1134		old_locus_tag=FGL83_00060
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	13208	14341	-	WP_147000559.1	WP_147000559.1		class I SAM-dependent RNA methyltransferase		66530565	FGL83_RS00060	1134	377	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	14401	14685	+						66530566	FGL83_RS00065	285		old_locus_tag=FGL83_00065
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	14401	14685	+	WP_010004533.1	WP_010004533.1		hypothetical protein		66530566	FGL83_RS00065	285	94	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	14677	15315	-						66530567	FGL83_RS00070	639		old_locus_tag=FGL83_00070
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	14677	15315	-	WP_010004532.1	WP_010004532.1		DnaD domain protein		66530567	FGL83_RS00070	639	212	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	15448	16755	-					asnS	66530568	FGL83_RS00075	1308		old_locus_tag=FGL83_00075
CDS	with_protein	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	15448	16755	-	WP_048701901.1	WP_048701901.1		asparagine--tRNA ligase	asnS	66530568	FGL83_RS00075	1308	435	
gene	protein_coding	GCF_007954605.1	Primary Assembly	chromosome		NZ_CP042387.1	16808	17989	-						66530569	FGL83_RS00080	1182		old_locus_tag=FGL83_00080
